Law-Name,Category,Chapter,Article-Category,Article-Number,Article-Description,Punishment
Kurigisa cyangwa kwangiza ibyatanzweho ingwate,NA,NA,Icyaha gikomeye,ingingo ya 178,Kurigisa cyangwa kwangiza ibitanzweho ingwate,"Igifungo: 1–2 imyaka; Ihazabu: 1,000,000–2,000,000 FRW"
Ubuhemu,NA,NA,Icyaha gikomeye,ingingo ya 176,"Gukoresha nabi ikintu cyahawe cyangwa yakirindishijwe, akacyigarurira cyangwa akagitagaguza","Igifungo: 3–5 imyaka; Ihazabu: 500,000–1,000,000 FRW"
Icyaha cya Jenoside,NA,NA,Icyaha cy’ubugome,91,Gukora kimwe mu bikorwa 5 bigamije kurimbura igice cyangwa abantu bose b'itsinda runaka,uhamwe niki cyaha ahanishwa Igifungo cya burundu kidashobora kugabanywa
Icyaha cyo Gucura umugambi wa Jenoside,NA,NA,Icyaha cy’ubugome,93,Gucura umugambi wo gukora Jenoside,Uhamwe niki cyaha ahanisha Igifungo cya burundu
Gutegura Jenoside,NA,NA,Icyaha cy’ubugome,93,Gushyira mu bikorwa imyiteguro ya Jenoside,Uhamwe niki cyaha ahanisha Igifungo cya burundu
Gushishikariza Jenoside,NA,NA,Icyaha cy’ubugome,93,Gushishikariza abantu gukora Jenoside ku buryo ubwo ari bwo bwose,uhamwe niki cyaha ahanishwa igifungo cya burundu.
Gugerageza Jenoside,NA,NA,Icyaha cy’ubugome,93,Kugerageza gukora Jenoside itaragerwaho,uhamwe niki cyaha ahanishwa igifungo cya burundu.
Ubufatanyacyaha muri Jenoside,NA,NA,Icyaha cy’ubugome,93,Kuba mu itsinda cyangwa gufasha mu bikorwa bya Jenoside,uhamwe niki cyaha ahanishwa igifungo cya burundu.
"Icyaha cyibasiye inyokomuntu: kwica, kurimbura, ubucakara, gukubita/torture, gusambanya ku gahato, kurigisa, ibikorwa birenze kamere muntu",NA,NA,Icyaha cy’ubugome,94,"Ibyaha bikorwa ku baturage batari abasirikare, bigaragaramo ubugome",uhamwe na kimwe muri ibi byaha ahanishwa igifungo cya burundu.
"Icyaha cyibasiye inyokomuntu: gutwara bunyago, gufunga binyuranyije n’amategeko, gutoteza cyangwa ivangura rishingiye ku ruhu",NA,NA,Icyaha gikomeye,94,"Ibyaha bikorerwa abaturage batari abasirikare, ariko bitarimo ubwicanyi cyangwa ihohotera rikabije",uhamwe nakimwe muri ibi byaha ahanishwa Igifungo kitarenze imyaka 25
Icyaha cyibasiye inyokomuntu bikozwe biherekejwe n’agashinyaguro,NA,NA,Icyaha cy’ubugome,95,Iyo ibikorwa bivugwa hejuru byakozwe bifite agashinyaguro,uhamwe niki cyaha ahanishwa igifungo cya burundu.
NA,NA,NA,NA,NA,NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya mbere: Itangwa ry’igihano cy’imirimo y’inyungu rusange,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2018 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 35 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange, ihinduwe ku buryo bukurikira: (1) « Iyo igihano cy’imirimo y’inyungu rusange gitanzwe nk’igihano cy’iremezo, urukiko rugena igihe ntarengwa kizamara. Icyo gihe ntigishobora kurenga amezi 6. (2) Igihano cy’imirimo y’inyungu rusange gishobora gutangwa gisimbura ikindi gihano cy’iremezo. Muri icyo gihe, gitangwa ku buryo bukurikira: (a) iyo icyaha gihanishwa igifungo kirenze amezi 6 ariko kitarenze imyaka 5, urukiko rushobora gutegeka uwagikatiwe kurangiza igice cy’igihano akora igihano cy’imirimo y’inyungu rusange mu gihe kitarenze
imyaka 2;

(b) iyo icyaha gihanishwa
igifungo kitageza ku mezi 6,
urukiko rushobora
kumutegeka gukora igihano
cy’imirimo y’inyungu
rusange mu gihe kidashobora
kurenga igihe ntarengwa cyo
hejuru cy’igifungo
giteganywa n’itegeko kuri
icyo cyaha.

(3) Iyo uwahamwe n’icyaha adakoze
neza ku bushake igihano cy’imirimo
y’inyungu rusange, arangiriza mu
igororero igihano gisigaye
yakatiwe.»",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 2: Igabanya ry’igihano mu gihe hari impamvu nyoroshyacyaha zemezwa n’umucamanza,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2019 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 60 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange, ihinduwe ku buryo bukurikira: « Iyo umucamanza yemeje impamvu nyoroshyacyaha, ashobora kugabanya igihano ku buryo bukurikira: (a) igifungo cya burundu gishobora
kugabanywa ariko ntikijye munsi
y’igihano cy’igifungo cy’imyaka 15;

(b) igifungo kimara igihe kizwi kiva ku
mezi 6 kuzamura gishobora
kugabanywa, ariko ntikijye munsi ya
kimwe cya kabiri cy’igihano gito
giteganyirijwe icyaha cyakozwe;

(c) igihano cy’igifungo kiri munsi
y’amezi 6 gishobora gusubikwa;


(d) igihano cy’ihazabu gishobora
kugabanywa kugeza kuri kimwe cya
kane cy’igihano cy’ihazabu gito
giteganyirijwe icyaha cyakozwe;

(e) igihano cy’imirimo y’inyungu
rusange gishobora gusubikwa. » ",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 3: Igihe habaho isubikagihano,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2020 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 64 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: (1) « Iyo uwakatiwe nta kindi gihano cy’igifungo kirenga amezi 6 yahanishijwe mbere, urukiko, rukoresheje icyemezo gisobanura
impamvu, rushobora gutegeka
gusubika irangiza ry’igihano cyose
cyangwa igice cy’igihano cy’iremezo
cyangwa cy’ingereka, iyo igihano
cy’iremezo cy’igifungo umuntu
yakatiwe kitarenze imyaka 5.

(2) Icyemezo cy’urukiko gitegeka
isubika     ry‘igihano –

(a) kigaragaza impamvu
zashingiweho;

(b) kigaragaza igihe isubikagihano
ry’igihano cy’igifungo cyangwa
isubika ry’igihano cy’imirimo
y’inyungu rusange ritangirira
n’igihe rirangirira;


(c) gishobora gutegeka isubika
ry’igihano cy’igifungo cyose
cyangwa igice cyacyo,
iry’ihazabu yose cyangwa igice
cyayo;

(d) gishobora gutegeka isubika
ry’igihano cy’iremezo cyangwa
iry’igihano cy’ingereka.

(3) Icyemezo cy’urukiko gisubika igihano gifatwa mu rubanza rumwe
n’urw’icyaha cyakozwe
ruburanishwa.»  ",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 4: Ihanwa ry’umufatanyacyaha n’iry’icyitso,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2021 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 84 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange, ihinduwe ku buryo bukurikira: (1) « Umufatanyacyaha cyangwa icyitso ahanwa hakurikijwe ibihano itegeko riteganyiriza uwakoze icyaha. (2) Umufatanyacyaha cyangwa icyitso arakurikiranwa n’ubwo icyaha cyaba kitashoboye gukurikiranwa ku wagikoze kubera impamvu zimureba ku giti cye nk’urupfu, uburwayi bwo mu mutwe cyangwa kutamenyekana. Icyakora, iyo umuntu uvugwa mu gace ka 5 d), aka 5 e) n’aka 5 f) tw’ingingo ya 2 y’iri tegeko ari uwashyingiranywe n’uwakoze icyaha cyangwa uwo bafitanye isano kugera ku rwego rwa kabiri, ntakurikiranwa ku byaha byoroheje n’ibyaha bikomeye. »",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 5: Ihanwa ry’icyaha cya jenoside,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2022 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 92 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: « Umuntu ukoze kimwe mu bikorwa bivugwa mu ngingo ya 91 y’iri tegeko aba akoze icyaha. Iyo abihamijwe n’urukiko ahanishwa igihano cy’igifungo cya burundu.»,NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 6: Ibindi bikorwa byitwa nk’ibyaha by’intambara,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2023 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 99 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: « Igikorwa kiri muri ibi bikurikira gikozwe mu mirwano ikoreshejwe intwaro cyitwa icyaha cy’intambara: (a) gukoresha intwaro z’ubumara cyangwa izindi ntwaro zibabaza abantu atari ngombwa; (b) kugaba ibitero ku bakozi n’inyubako by’ubuvuzi kimwe no gusenya cyangwa kwangiza ibikoresho by’ubwikorezi n’indege byo mu buvuzi; (c) gukoresha imyuka ibuza guhumeka,
ihumanya cyangwa indi bikora
kimwe   cyangwa uburyo bwo
kurwana bukwirakwiza indwara;

(d) gukora, guhunika, kwakira cyangwa
gutwara ibikomoka ku dukoko
dukwirakwiza indwara cyangwa
ubumara, aho byaba bikomoka aho
ari ho hose cyangwa uburyo ubwo ari
bwo bwose byaba bikozwemo,
hagambiriwe kubikoresha mu
kurwanya umwanzi mu mirwano
ikoreshejwe intwaro;

(e) gutesha umuntu icyubahiro,
by’umwihariko kumusambanya ku
gahato, kwangiza imyanya
ndangagitsina, gushora umuntu mu
buraya ku gahato n’ubundi buryo
bwose bw’icyaha cy’urukozasoni;

(f) gushyira abantu mu bucakara no
kubacuruza nk’abacakara, no gukora
ibikorwa bijyana na byo cyangwa
kubakoresha  imirimo y’uburetwa
y’uburyo ubwo ari bwo bwose;

(g) gushyira abantu b’abasiviri imbere ku
rugamba bigatuma baba agakingirizo
k’amasasu;  (h) kwicisha abaturage inzara no
kubabuza ko imfashanyo zagenewe
kubagoboka zibageraho;

(i) gutandukanya ubigambiriye abana
n’ababyeyi babo cyangwa n’abandi
bashinzwe umutekano n’imibereho
myiza byabo;

(j) gushyira igitugu ku basiviri barimo
n’abana kugira ngo bajye mu
mirwano cyangwa bakore imirimo
ijyanye n’inshingano za gisirikare;

(k) kutavura inkomere, abarwayi,
abarohamye n’abandi bantu
babujijwe uburenganzira bwabo ku
mpamvu zifitanye isano n’imirwano
ikoreshejwe intwaro;

(l) gufata nabi imfungwa cyangwa
abantu bahurijwe ahantu hamwe;

(m)  gusahura cyangwa gusenya ibintu
bya Leta cyangwa iby’abantu ku giti
cyabo;

(n) guhana abantu ikivunge udakurikije
ibyaha bya buri muntu;

(o) gukora ibikorwa bya kiboko bigamije
gutera ubwoba abaturage cyangwa
bamwe muri bo. » ",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 7: Ibihano ku bindi bikorwa byitwa ibyaha by’intambara,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2024 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 100 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: « Umuntu uhamijwe n’urukiko gukora kimwe mu byaha biteganywa mu ngingo ya 99 y’iri tegeko, ahanishwa – (a) igifungo cya burundu iyo akoze kimwe mu bikorwa biteganyijwe mu duka twa (a), (b), (c), (d), (e), (f), (g), (h) na (i); (b) igifungo kitari munsi y’imyaka 10 ariko kitarenze imyaka 15 iyo yakoze kimwe mu byaha biteganyijwe mu duka twa (j), (k) na ( l); (c) n‘igihano cy’igifungo kitari munsi y’imyaka 5 ariko kitarenze imyaka 10 iyo yakoze kimwe mu byaha biteganyijwe mu duka twa (m), (n) na (o) . »",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 8: Kwihekura,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2025 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"
Ingingo ya 108 y’Itegeko nº 68/2018 ryo ku
wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange  ihinduwe ku buryo bukurikira: « Ingingo ya 108: Kwihekura

Umuntu wishe umwana yabyaye utarengeje
amezi 12 aba akoze icyaha cyo kwihekura.
Iyo abihamijwe n’urukiko, ahanishwa
igifungo cya burundu. Icyakora, iyo umugore
wahamwe n’icyaha cyo kwihekura yabitewe
n’ihungabana yagize nyuma yo kubyara
cyangwa igihe yonsa byemejwe n’umuganga
cyangwa umuhanga mu by’imitekerereze
wemewe na Leta, ahanishwa igifungo kitari
munsi y’amezi 6 ariko kitarenze imyaka 2 . »  ",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 9: Kwanduza undi indwara,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2026 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 117 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: « Umuntu wanduza undi muntu indwara abishaka aba akoze icyaha. Iyo abihamijwe n’urukiko, ahanishwa igifungo kitari munsi y’imyaka 2 ariko kitarenze imyaka 3 n’ihazabu itari munsi ya 300.000 FRW ariko itarenze 500.000 FRW. Iyo indwara yamwanduje ari indwara idakira cyangwa imuteye ubumuga buhoraho, igihano kiba igifungo kitari munsi y’imyaka 20 ariko
kitarenze imyaka 25 n’ihazabu itari munsi ya
500.000 FRW ariko itarenze 1.000.000
FRW.» ",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 10: Gukubita cyangwa gukomeretsa umuntu bidaturutse ku bushake,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2027 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 120 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: (1) « Umuntu ukubita cyangwa ukomeretsa undi biturutse ku buryo buke, ubwitonzi buke, uburangare, umwete muke, ubuteshuke n’ubuteganye buke, aba akoze icyaha. Iyo abihamijwe n’urukiko, ahanishwa igifungo kitari munsi y’iminsi 8 ariko kitarenze amezi 2 n’ihazabu itari munsi ya 100.000 FRW ariko itarenze 200.000 FRW cyangwa kimwe muri ibyo bihano. (2) Iyo uwakoze icyaha yakomerekeje abantu benshi, ahanishwa igifungo kitari munsi y’amezi 2 ariko kitarenze amezi 3 n’ihazabu itari munsi ya 500.000 FRW ariko itarenze 1.000.000 FRW cyangwa kimwe muri ibyo bihano.» ",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 11: Gukubita cyangwa gukomeretsa ku bushake,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2028 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 121 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: (1) « Umuntu, abishaka, ukomeretsa undi, umukubita cyangwa umusagarira ku buryo bwa kiboko bubabaje aba akoze icyaha. Iyo abihamijwe n’urukiko, ahanishwa igifungo kitari munsi y’amezi 6 ariko kitarenze umwaka 1 n’ihazabu itari munsi ya 100.000 FRW ariko itarenze 300.000 FRW. (2) Iyo icyaha kivugwa muri iyi ngingo cyakorewe umwana, umubyeyi, uwo bashyingiranywe cyangwa umuntu udashoboye kwitabara kubera imiterere ye ku mubiri cyangwa mu bwenge, uwakoze icyaha ahanishwa igifungo kitari munsi y’umwaka 1 ariko kitarenze imyaka 3 n’ihazabu itari munsi ya 300.000 FRW ariko itarenze 500.000 FRW. (3) Iyo gukubita cyangwa gukomeretsa
byateye uwakorewe icyaha indwara
cyangwa kudashobora kugira icyo
yikorera ku buryo budahoraho,
igihano kiba igifungo kitari munsi
y’imyaka 3 ariko kitarenze imyaka 5
n’ihazabu itari munsi ya 500.000
FRW ariko itarenze 1.000.000 FRW.

(4) Iyo gukubita cyangwa gukomeretsa
byateye uwakorewe icyaha indwara
idakira, ubumuga buhoraho butuma
ntacyo yikorera, kubuza burundu
urugingo rw’umubiri gukora no
gutakaza igice cy’umubiri, igihano
kiba igifungo kitari munsi y’imyaka 5
ariko kitarenze imyaka 10 n’ihazabu
itari munsi ya 1.000.000 FRW ariko
itarenze 2.000.000 FRW.

(5) Iyo gukubita cyangwa gukomeretsa
byagambiriwe, byategewe igico,
uwakoze icyaha ahanishwa igifungo
kitari munsi y’imyaka 5 ariko
kitarenze imyaka 10 n’ihazabu itari
munsi ya 2.000.000 FRW ariko
itarenze 3.000.000 FRW.

(6) Iyo gukubita cyangwa gukomeretsa
byateye urupfu, igihano kiba igifungo
kitari munsi y’imyaka 10 ariko
kitarenze imyaka 20 n’ihazabu itari munsi ya 3.000.000 FRW ariko
itarenze 5.000.000 FRW.” ",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 12: Kwikuriramo inda cyangwa kwemera gukurirwamo inda,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2029 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 123 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: « Ingingo ya 123: Kwikuriramo inda
cyangwa kwemera gukurirwamo inda

Umuntu wikuriyemo inda cyangwa, mu
buryo bunyuranyije n’iri tegeko, wemera
gukurirwamo inda, aba akoze icyaha. Iyo
abihamijwe n’urukiko, ahanishwa igifungo
kitari munsi y’umwaka 1 ariko kitarenze
imyaka 3 n’ihazabu itari munsi ya 100.000
FRW ariko itarenze  200.000 FRW. » ",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 13: Gukora, gucuruza, gukwirakwiza cyangwa kwinjiza mu Gihugu ibintu bitujuje ubuziranenge cyangwa byakwangiza ubuzima",NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2030 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ryongewemo ingingo ya 132 bis iteye ku buryo bukurikira: « Ingingo ya 132 bis: Gukora, gucuruza,
gukwirakwiza cyangwa kwinjiza mu
Gihugu ibintu bitujuje ubuziranenge
cyangwa byangiza ubuzima bw’umuntu

Umuntu ukora, ucuruza, ukwirakwiza
cyangwa winjiza mu Gihugu ibiribwa,
ibinyobwa, imiti cyangwa ibindi bintu
bitujuje ubuziranenge cyangwa bishobora
kwangiza ubuzima bw’umuntu, aba akoze
icyaha. Iyo abihamijwe n’urukiko,
ahanishwa igifungo kitari munsi y’imyaka 3
ariko kitarenze imyaka 5 n’ihazabu itari
munsi ya 1.000.000 FRW ariko itarenze
3.000.000 FRW cyangwa kimwe gusa muri
ibyo bihano. »",NA,NA
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 14: Gusambanya umwana,NA,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2031 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 133 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: (1) « Umuntu ukorera ku mwana kimwe mu bikorwa bishingiye ku gitsina bikurikira, aba akoze icyaha: (a) gushyira igitsina cy’umuntu mu gitsina, mu kibuno cyangwa mu kanwa by’umwana; (b) gushyira urugingo urwo ari rwo rwose rw’umubiri w’umuntu mu
gitsina cyangwa mu kibuno
cy’umwana;

(c) gukora ikindi gikorwa cyose ku
mubiri w’umwana hagamijwe
ishimishamubiri.

(2) Umuntu uhamijwe n’urukiko gukora
kimwe mu bikorwa bivugwa mu gika
cya (1) cy’iyi ngingo ahanishwa
igifungo kitari munsi y’imyaka 20
ariko kitarenze imyaka 25.


(3) Iyo gusambanya umwana byakorewe
ku mwana uri munsi y’imyaka 14
igihano kiba igifungo cya burundu.


(4) Iyo gusambanya umwana byakorewe
ku mwana ufite cyangwa urengeje
imyaka 14 byamuteye indwara
idakira cyangwa ubumuga, igihano
kiba igifungo cya burundu.

(5) Iyo umuntu mukuru asambanyije
umwana bigakurikirwa no kumugira
umugabo cyangwa umugore, igihano
kiba igifungo cya burundu. (6) Iyo umwana ufite imyaka 14 ariko
atarageza ku myaka 18 asambanyije
umwana ufite imyaka 14 ariko
utarageza ku myaka 18 akoresheje
kiboko, ibikangisho, uburiganya
cyangwa abikoze ku bw’intege nke
z’uwakorewe icyaha, cyangwa
yamuhaye ibintu bimuca intege,
ahanwa hakurikijwe ibiteganywa mu
ngingo ya 54 y’iri tegeko.


(7) Icyaha cyo gusambanya umwana
ntigisaza. » ",NA,NA
